search01               | [2026-02-11T15:39:16,392][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-task
search01               | [2026-02-11T15:39:16,393][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index .plugins-ml-task from [false] to [true]
search01               | [2026-02-11T15:39:16,393][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index .plugins-ml-task.
search01               | [2026-02-11T15:39:16,393][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index .plugins-ml-task with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:39:16,393][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[.plugins-ml-task/UoBL4n5PRaKBwYpgIpuJXA]
search01               | [2026-02-11T15:39:16,402][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index .plugins-ml-task from [true] to [true]
search01               | [2026-02-11T15:39:16,403][INFO ][o.o.c.m.MetadataCreateIndexService] [search01] [.plugins-ml-task] creating index, cause [api], templates [], shards [1]/[1]
search01               | [2026-02-11T15:39:16,403][INFO ][o.o.c.r.a.AllocationService] [search01] updating number_of_replicas to [0] for indices [.plugins-ml-task]
search01               | [2026-02-11T15:39:16,433][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index .plugins-ml-task from [false] to [true]
search01               | [2026-02-11T15:39:16,433][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating maxThreadCount from [0] to [4] and maxMergeCount from [0] to [9] for index .plugins-ml-task.
search01               | [2026-02-11T15:39:16,434][INFO ][o.o.i.MergeSchedulerConfig] [search01] Initialized index .plugins-ml-task with maxMergeCount=9, maxThreadCount=4, autoThrottleEnabled=true
search01               | [2026-02-11T15:39:16,434][INFO ][o.o.p.PluginsService     ] [search01] PluginService:onIndexModule index:[.plugins-ml-task/UoBL4n5PRaKBwYpgIpuJXA]
search01               | [2026-02-11T15:39:16,442][INFO ][o.o.i.MergeSchedulerConfig] [search01] Updating autoThrottle for index .plugins-ml-task from [true] to [true]
search01               | [2026-02-11T15:39:16,524][INFO ][o.o.c.r.a.AllocationService] [search01] Cluster health status changed from [YELLOW] to [GREEN] (reason: [shards started [[.plugins-ml-task][0]]]).
search01               | [2026-02-11T15:39:16,560][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] create index:.plugins-ml-task
search01               | [2026-02-11T15:39:16,560][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Indexing data object in .plugins-ml-task
search01               | [2026-02-11T15:39:16,572][INFO ][o.o.r.m.c.i.LocalClusterIndicesClient] [search01] Creation status for id pd1bTZwB-WdjH_QvUvXQ: CREATED
search01               | [2026-02-11T15:39:16,573][INFO ][o.o.m.t.MLTaskManager    ] [search01] Task creation result: CREATED, Task id: pd1bTZwB-WdjH_QvUvXQ
Downloading: 100% |========================================| model_meta_list.json  ] [search01]
Downloading: 100% |========================================| config.json           ] [search01]
search01               | [2026-02-11T15:39:17,874][INFO ][o.o.m.e.i.MLIndicesHandler] [search01] Using initIndexWithoutThreadContext method to create index: .plugins-ml-model
